Date / Time,Temp [°C],pH [Units],SpCond [µS/cm],DO [mg/l],TurbSC [NTU],IBatt [%Left],IBatt [Volts],EBatt [%Left],EBatt [Volts],ORP [mV],TDS [g/l],DO% [Sat],BP [mmHg],Sal [ppt],pHVolts [mV],
4/8/2014 11:26,11.43,8.05,760,8.86,2.9,82,11.2,51,11.4,524,0.5,80.2,NaN,NaN,-80.3,1
21/6/2014 14:51,11.61,5.01,762,9.16,2.4,82,11.2,56,11.4,488,0.9,83.3,NaN,NaN,-81.3,
